"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-15 01:00:00",104,21.78,262,8.69,42.4,37.3,638.1,0,0
"2016-01-15 02:00:00",105,20.79,263.2,7,40.9,38.4,638,0,0
"2016-01-15 03:00:00",106,17.33,271.7,6.276,39,43.4,638,0,0
"2016-01-15 04:00:00",107,13.9,277.8,8.36,38.9,45.7,637.3,0,0
"2016-01-15 05:00:00",108,20.35,266.8,7.467,39.93,46.6,637.2,0,0
"2016-01-15 06:00:00",109,18.61,270.6,6.103,39.48,52.5,637.2,0,0
"2016-01-15 07:00:00",110,19.28,269.4,7.888,39.5,56.9,637.1,0,0
"2016-01-15 08:00:00",111,21.59,268,9.4,39.97,59.9,637.7,0,0
"2016-01-15 09:00:00",112,18.29,274.7,8.89,40.54,64.6,638.9,0,0
"2016-01-15 10:00:00",113,18.97,271.8,7.104,42.46,55.4,639.7,0,0
"2016-01-15 11:00:00",114,15.71,309,18.04,43.83,42.2,640,0,0
"2016-01-15 12:00:00",115,19.65,309.3,12.45,46.53,33.4,639.9,0,0
"2016-01-15 13:00:00",116,16.06,308,18.59,48.1,30.9,640,0,0
"2016-01-15 14:00:00",117,15.34,283.4,15.79,47.79,30.3,640.1,0,0
"2016-01-15 15:00:00",118,10.41,329.4,17.46,47.67,36.3,640.7,0,0
"2016-01-15 16:00:00",119,8.4,24.48,21.54,46.76,34,640.8,0,0
"2016-01-15 17:00:00",120,5.899,245.3,30.52,45.21,38.2,641.3,0,0
"2016-01-15 18:00:00",121,2.074,238.9,48.66,41.73,44.3,641.8,0,0
"2016-01-15 19:00:00",122,3.604,282.9,37.24,40,49.8,642.2,0,0
"2016-01-15 20:00:00",123,4.475,311.6,9.3,38.96,51,642.4,0,0
"2016-01-15 21:00:00",124,4.759,306.7,11.12,38.59,50,642.9,0,0
"2016-01-15 22:00:00",125,4.658,315.7,8.83,39.55,47.8,643.1,0,0
"2016-01-15 23:00:00",126,4.194,315.1,28.06,37,49.7,643.4,0,0
"2016-01-16 00:00:00",127,4.128,313,18.62,38.22,49.2,643.5,0,0
"2016-01-16 01:00:00",128,4.304,321.7,13.68,38.91,51.6,643.3,0,0
"2016-01-16 02:00:00",129,3.311,325.8,15.26,36.78,54.2,643.4,0,0
"2016-01-16 03:00:00",130,3.161,327.7,35.37,36.88,47.6,643.4,0,0
"2016-01-16 04:00:00",131,4.97,310.5,15.13,38.87,43.2,643.6,0,0
"2016-01-16 05:00:00",132,4.451,277.9,40.55,40.31,40.4,643.3,0,0
"2016-01-16 06:00:00",133,1.891,314.4,36.15,38.86,43.1,643.7,0,0
"2016-01-16 07:00:00",134,2.63,330.3,29.4,38.9,43.9,644,0,0
"2016-01-16 08:00:00",135,2.846,339.7,13.06,40.43,39.5,644.5,0,0
"2016-01-16 09:00:00",136,3.252,296.9,28.94,42.15,33.4,644.9,0,0
"2016-01-16 10:00:00",137,2.336,286.6,26.43,44.34,36,644.9,0,0
"2016-01-16 11:00:00",138,4.018,278.5,23.95,46.61,38.3,644,0,0
"2016-01-16 12:00:00",139,5.217,72.99,22.45,45.86,38,644.1,0,0
"2016-01-16 13:00:00",140,10.44,274.5,13.19,47.12,43.4,643.8,0,0
"2016-01-16 14:00:00",141,6.32,268.7,15.67,47.04,41.7,643.7,0,0
"2016-01-16 15:00:00",142,4.566,96.4,30.29,47.26,43,643.1,0,0
"2016-01-16 16:00:00",143,2.729,103.3,21.73,47.21,43,643.2,0,0
"2016-01-16 17:00:00",144,4.889,333.2,19.24,45.57,51.1,643.9,0,0
"2016-01-16 18:00:00",145,5.029,289.4,16.09,43.25,52.4,644.3,0,0
"2016-01-16 19:00:00",146,3.09,337.5,42.13,42.49,55.2,644.6,0,0
"2016-01-16 20:00:00",147,3.937,317.4,14.23,41.79,50.3,644.6,0,0
"2016-01-16 21:00:00",148,2.512,324.8,47.45,41.63,58.4,645.1,0,0
"2016-01-16 22:00:00",149,3.058,291,33.93,40.82,55.8,645.3,0,0
"2016-01-16 23:00:00",150,2.267,315.7,54.57,41.56,51.9,645.7,0,0
"2016-01-17 00:00:00",151,2.021,332.6,39.5,40.6,52,645.5,0,0
"2016-01-17 01:00:00",152,2.703,316,35.87,39.32,56,645.3,0,0
"2016-01-17 02:00:00",153,5.519,319,10.79,39.38,51.5,645.2,0,0
"2016-01-17 03:00:00",154,6.372,306.5,42.52,41.03,50.3,645.2,0,0
"2016-01-17 04:00:00",155,3.811,319.1,37.27,39.67,55.7,645.2,0,0
"2016-01-17 05:00:00",156,4.385,353.9,32.16,39.09,46.6,644.8,0,0
"2016-01-17 06:00:00",157,3.475,1.89,20.24,42.43,40.8,644.6,0,0
"2016-01-17 07:00:00",158,3.561,358.5,18.29,44.61,30,645.3,0,0
"2016-01-17 08:00:00",159,3.041,77.57,23.56,46.42,42.1,645.9,0,0
"2016-01-17 09:00:00",160,2.6,142.9,21.42,45.73,39.4,646.8,0,0
"2016-01-17 10:00:00",161,2.389,248.1,29.25,49.83,33.5,646.9,0,0
"2016-01-17 11:00:00",162,4.181,47.49,44.28,53.03,30.7,646.8,0,0
"2016-01-17 12:00:00",163,7.951,273.1,12.68,54.67,28.8,646.1,0,0
"2016-01-17 13:00:00",164,6.395,64.62,20.58,54.15,31.3,645.1,0,0
"2016-01-17 14:00:00",165,6.059,193.4,34.46,59.04,25.5,644.9,0,0
"2016-01-17 15:00:00",166,7.517,217.6,20.82,59.42,28.9,644.6,0,0
"2016-01-17 16:00:00",167,5.949,203.3,19.11,57.77,30.9,644.6,0,0
"2016-01-17 17:00:00",168,3.308,115.5,55.59,55.35,34.9,644.7,0,0
"2016-01-17 18:00:00",169,7.42,280.3,12.61,50.73,46.6,644.8,0,0
"2016-01-17 19:00:00",170,7.069,283.2,10.52,48.99,45.1,644.9,0,0
"2016-01-17 20:00:00",171,2.33,257.2,52.84,48.72,47.6,644.6,0,0
"2016-01-17 21:00:00",172,3.887,264.1,33.37,50.07,46.8,644.6,0,0
"2016-01-17 22:00:00",173,8.67,255.8,17.49,49.89,48.9,644.6,0,0
"2016-01-17 23:00:00",174,15.25,262.7,8.53,49.91,51.3,644.6,0,0
"2016-01-18 00:00:00",175,14.73,261.6,8.23,48.96,53.9,644.3,0,0
"2016-01-18 01:00:00",176,11.53,274.9,8.46,48.05,50.8,643.7,0,0
"2016-01-18 02:00:00",177,11.22,270,7.434,48.92,53.1,643.7,0,0
"2016-01-18 03:00:00",178,11.79,269.4,7.046,48.69,51.6,643.6,0,0
"2016-01-18 04:00:00",179,9.42,278.5,7.464,47.27,57.3,643.6,0,0
"2016-01-18 05:00:00",180,8.18,282.8,9.02,46.28,58.2,643.3,0,0
"2016-01-18 06:00:00",181,11.58,269.7,11.21,47.01,47,643,0,0
"2016-01-18 07:00:00",182,10.62,277.2,11.54,47.11,49.1,643.1,0,0
"2016-01-18 08:00:00",183,13,266,9.14,47.79,42.4,643.2,0,0
"2016-01-18 09:00:00",184,13.14,251.7,10.83,48.98,38.4,643.4,0,0
"2016-01-18 10:00:00",185,15.01,260.6,11.13,50.66,33.1,643.6,0,0
"2016-01-18 11:00:00",186,18.63,255.1,12.98,52.3,39.5,643.3,0,0
"2016-01-18 12:00:00",187,26.72,260.1,8.94,50.88,39.8,642.8,0,0
"2016-01-18 13:00:00",188,30.02,260.3,7.899,49.54,43.5,642.2,0,0
"2016-01-18 14:00:00",189,26.69,259.4,8.4,49.78,51.6,642.3,0,0
"2016-01-18 15:00:00",190,21.73,258,8.45,49.32,55.7,642.4,0,0
"2016-01-18 16:00:00",191,22.17,263.1,7.671,48.86,58.7,642.5,0,0
"2016-01-18 17:00:00",192,16.43,274.4,6.944,48.6,61.2,642.9,0,0
"2016-01-18 18:00:00",193,13.35,273.7,9.41,48.31,64.6,643.5,0,0
"2016-01-18 19:00:00",194,15.57,269.2,7.97,48.35,66.7,644,0,0
"2016-01-18 20:00:00",195,12.5,271.2,7.921,46.79,73.6,644.2,0,0
"2016-01-18 21:00:00",196,6.645,293.7,15.62,45.46,73.6,644.8,0,0
